epochs,learning_rate,number_nodes_layer,accuracy_mean,accuracy_standard_deviation
50000,0.07,10,0.532876,3.12145
50000,0.07,50,0.384275,2.3474
50000,0.07,100,0.155005,2.2216
50000,0.08,10,0.154817,2.13475
50000,0.08,50,0.344802,2.33837
50000,0.08,100,0.192777,2.03844
50000,0.09,10,0.478483,1.64313
50000,0.09,50,0.149851,1.74807
50000,0.09,100,0.669693,1.87946
50000,0.1,10,0.288499,2.36996
50000,0.1,50,0.386055,1.66658
50000,0.1,100,0.915333,2.17735
50000,0.2,10,0.317919,2.63464
50000,0.2,50,0.513976,2.29281
50000,0.2,100,0.339037,1.632
500000,0.07,10,0.225672,2.60842
500000,0.07,50,0.459077,1.33696
500000,0.07,100,0.561476,1.36792
500000,0.08,10,0.265785,1.89844
500000,0.08,50,0.439018,1.34635
500000,0.08,100,0.505096,1.55195
500000,0.09,10,0.209593,1.82357
500000,0.09,50,0.444437,1.71212
500000,0.09,100,0.31514,1.42255
500000,0.1,10,0.311393,1.44606
500000,0.1,50,0.494883,1.50774
500000,0.1,100,0.476055,1.68305
500000,0.2,10,0.124358,2.06491
500000,0.2,50,0.456392,1.70153
500000,0.2,100,0.437057,2.01032
5000000,0.07,10,0.22071,1.67508
5000000,0.07,50,0.493889,1.67189
5000000,0.07,100,0.355899,1.59438
5000000,0.08,10,0.517933,1.63068
5000000,0.08,50,0.524674,1.63169
5000000,0.08,100,0.450749,1.38811
5000000,0.09,10,0.232595,1.45083
5000000,0.09,50,0.51395,1.60227
5000000,0.09,100,0.515319,1.37004
5000000,0.1,10,0.551844,2.20929
5000000,0.1,50,0.691894,1.29627
5000000,0.1,100,0.488844,1.47184
5000000,0.2,10,0.303031,1.47108
5000000,0.2,50,0.525197,2.07142
5000000,0.2,100,0.588859,2.16695
10000,0.01,100,-0.398655,1.89698
10000,0.01,150,0.626937,1.70803
10000,0.01,200,1.0003,3.76759
10000,0.01,250,0.0485513,2.53647
10000,0.02,100,-0.269671,2.81694
10000,0.02,150,-0.0825473,1.35371
10000,0.02,200,-0.523115,1.9243
10000,0.02,250,0.0465581,3.25807
10000,0.07,100,-0.279967,3.45479
10000,0.07,150,0.979587,3.48519
10000,0.07,200,0.00899528,1.83284
10000,0.07,250,0.359425,1.30239
10000,0.08,100,0.0329442,1.99969
10000,0.08,150,-0.0845264,1.32727
